,dispersions,dispersions_norm,highly_variable,means,n_cells,var_names
20178,2.171418679317174,-0.2620488703250885,0,0.0596803288449908,3894,ZNF347
20179,2.044709541842247,-0.5213510394096375,0,0.04419657750261068,3336,ZNF35
20180,2.3458762575311596,0.09496746212244034,0,0.29667427411124125,12744,ZNF350
20181,2.788868639125042,1.0015231370925903,1,0.0020962194339269177,195,ZNF350-AS1
20182,2.2155329756830007,-0.17177176475524902,0,0.1646869167919176,10352,ZNF354A
20183,2.199898445673771,-0.2037668377161026,0,0.060393252019623755,3716,ZNF354B
20184,2.189526996009237,-0.2249913364648819,0,0.023504132826476763,1749,ZNF354C
20185,1.972091328944504,-0.6699596047401428,0,0.13512907840498695,12275,ZNF358
20186,2.189824669077882,-0.2243821769952774,0,0.14570441785809365,9330,ZNF362
20187,2.0789173695306205,-0.45134690403938293,0,0.026292120704604204,1973,ZNF365
20188,2.0746738938465055,-0.4600309133529663,0,0.00868047990231502,590,ZNF366
20189,2.2627759472232696,-0.07509203255176544,0,0.028116891414810066,1778,ZNF367
20190,2.315195202536773,0.03218063339591026,0,0.26100856353422736,15262,ZNF37A
20191,2.207221153542065,-0.18878138065338135,0,0.03337818444866416,1714,ZNF382
20192,2.314792846833118,0.03135723993182182,0,0.11570323632420162,5320,ZNF383
20193,2.2165483583557233,-0.16969384253025055,0,0.08273226575622702,5512,ZNF384
20194,2.1671663859563095,-0.27075091004371643,0,0.2766005843836202,19331,ZNF385A
20195,2.171449129676655,-0.26198655366897583,0,0.058127916846693786,3490,ZNF385B
20196,2.147169077036179,-0.3116741180419922,0,0.010219490952558781,873,ZNF385C
20197,2.3156658333478726,0.033143751323223114,0,0.022552417872213064,1103,ZNF385D
20198,2.044039720534578,-0.5227217674255371,0,0.013371483135858755,1056,ZNF391
20199,2.3740406121077324,-0.27006712555885315,0,0.6125072383435967,31318,ZNF394
20200,2.2333608373783194,-0.13528817892074585,0,0.1861495945856227,11143,ZNF395
20201,2.120632660412633,-0.36597922444343567,0,0.015332664707370876,986,ZNF396
20202,2.4701195600037735,0.34922346472740173,0,0.2986066388524182,14728,ZNF397
20203,2.173209719149146,-0.2583836019039154,0,0.07583358776257279,5536,ZNF398
20204,2.209568633987898,-0.183977410197258,0,0.019451341045347927,1147,ZNF404
20205,2.2859224923432118,-0.02772410213947296,0,0.08232946503093293,4382,ZNF407
20206,2.258167006447996,-0.08452393859624863,0,0.09974788751045525,5629,ZNF408
20207,2.2166757014026777,-0.16943325102329254,0,0.03510951658601495,1951,ZNF41
20208,2.265335851678512,-0.06985335052013397,0,0.031220956616767964,1375,ZNF410
20209,2.1390281036554843,-0.32833412289619446,0,0.24175687261152912,15596,ZNF414
20210,2.2007359531432096,-0.20205292105674744,0,0.020823482709579743,1569,ZNF415
20211,2.307469923674468,0.016371343284845352,0,0.03442632569732109,1862,ZNF416
20212,2.317683895979919,0.0372735857963562,0,0.03175763148689093,1592,ZNF417
20213,2.181833038479756,-0.24073654413223267,0,0.01364415595465616,732,ZNF418
20214,2.317067660061651,0.036012500524520874,0,0.07855697758877372,4056,ZNF419
20215,2.3199035363244347,0.04181594029068947,0,0.14271486999858823,6916,ZNF420
20216,1.7738779812899237,-1.0755906105041504,0,0.008652419716452224,637,ZNF423
